@relation fuerza
@attribute fuerza numeric
@attribute angulo numeric
@attribute distancia numeric

@data
243.0,8.0,29.09768,30.034560947193384
257.0,52.0,36.291077,30.076384028048924
241.0,43.0,39.326897,31.072626788836885
256.0,88.0,2.0914059,30.06565830550196
211.0,16.0,32.786995,30.08944601123439
215.0,40.0,35.600742,30.05633342388542
214.0,38.0,36.077232,30.01880823815678
234.0,88.0,1.8989439,30.15203654081986
205.0,14.0,29.822939,30.029997910818295
207.0,15.0,31.288187,30.110460153945706
215.0,20.0,36.225662,30.001712650564777
219.0,55.0,28.388094,30.063444934179955
224.0,55.0,29.123028,30.011033901862024
226.0,55.0,29.408909,30.06414444330695
228.0,51.0,32.365475,30.097193845145533
217.0,52.0,29.97437,30.082106897970238
225.0,0.0,1.2352808,30.033253554131917
242.0,59.0,28.655548,30.107117611198923
244.0,61.0,27.280737,30.00267513367235
247.0,62.0,26.797413,30.071377417786476
233.0,0.0,1.2791021,30.050492533487404
268.0,88.0,2.195928,30.073162772963265
264.0,67.0,24.061024,30.05174051296535
237.0,88.0,1.9252523,30.112259578718994
237.0,88.0,1.9252523,30.08541937896944
242.0,12.0,35.732674,30.015315262750153
235.0,13.0,35.43116,30.042141604046677
203.0,26.0,35.063747,30.090715879039802
209.0,0.0,0.9176279,30.039169346865183
232.0,13.0,34.66959,30.020625517626353
227.0,14.0,34.881706,30.05150547067701
232.0,15.0,36.855022,30.01838236177785
228.0,14.0,35.035374,30.04531686402623
192.0,0.0,1.360353
2.0,0.0,0.0065900227
89.0,35.0,11.093938
375.0,49.0,57.9353
288.0,88.0,2.368997
407.0,26.0,82.582596
481.0,0.0,2.1129692
432.0,58.0,54.426563
483.0,88.0,4.0240912
2.0,31.0,0.014012029
198.0,73.0,13.171529
240.0,1.0,5.428536
425.0,1.0,14.978245
305.0,17.0,56.114746
16.0,1.0,0.08783457
239.0,1.0,4.682481
179.0,1.0,3.3288767
344.0,1.0,10.316719
394.0,1.0,13.143275
2.0,6.0,0.008736067
298.0,1.0,7.4811296
86.0,1.0,0.70279527
321.0,1.0,9.006113
406.0,1.0,14.502664
184.0,1.0,2.8541124
268.0,43.0,44.388885
200.0,1.0,3.408421
451.0,1.0,17.361633
283.0,55.0,37.714806
185.0,25.0,30.73446
446.0,53.0,64.14371
2.0,20.0,0.0103015285
449.0,8.0,74.6959
292.0,83.0,8.389922
56.0,26.0,4.8618026
500.0,10.0,94.08847
55.0,88.0,0.30251953
160.0,1.0,2.56428
222.0,32.0,39.263237
234.0,4.0,16.801435
104.0,21.0,12.35828
371.0,6.0,48.461914
485.0,59.0,59.53288
186.0,38.0,30.345543
165.0,60.0,17.979576
8.0,0.0,0.035056327
18.0,0.0,0.059106536
390.0,4.0,40.322422
262.0,2.0,11.517641
315.0,3.0,22.27063
261.0,2.0,11.12335
253.0,2.0,10.548873
442.0,2.0,29.89122
318.0,32.0,60.394436
279.0,0.0,1.9770782
95.0,15.0,8.833658
132.0,45.0,18.277473
16.0,88.0,0.039110463
183.0,88.0,1.4558256
182.0,84.0,4.3039293
199.0,67.0,17.622845
7.0,15.0,0.05868621
225.0,1.0,4.523622
463.0,35.0,88.99177
7.0,2.0,0.038414016
425.0,65.0,42.927734
69.0,0.0,0.48843127
154.0,88.0,1.1871287
216.0,0.0,0.9489494
475.0,70.0,38.755775
456.0,16.0,92.87497
472.0,0.0,2.3326726
210.0,88.0,1.6874055
408.0,46.0,66.860954
369.0,3.0,29.571152
348.0,88.0,2.920554
259.0,0.0,1.8353022
166.0,52.0,21.828453
46.0,88.0,0.23114125
284.0,21.0,53.287296
99.0,7.0,5.356648
415.0,88.0,3.4516027
2.0,27.0,0.0097854305
83.0,0.0,0.36461258
